Qty,Value,Device,Package,Parts,Description,,
1,,PINHD-1X2,1X02,JP1,PIN HEADER,,
1,0.1uF,CAPACITOR025-024X044,CAP100MIL,C2,"CAPACITOR, American symbol",,
1,0.1uf,CAPACITOR025-024X044,CAP100MIL,C8,"CAPACITOR, American symbol",,
1,0.1uf,CAPACITOR050-024X044,CAP200MIL,C19,"CAPACITOR, American symbol",,
1,10K,RESISTOR0204/7,RES300MIL,R11,"RESISTOR, American symbol",,
6,10k,RESISTOR0204/5,RES200MIL,"R4, R6, R7, R8, R9, R10","RESISTOR, American symbol",,
1,1K,RESISTOR0204/5,RES200MIL,R1,"RESISTOR, American symbol",,
1,20k,RESISTOR0204/5,RES200MIL,R5,"RESISTOR, American symbol",,
1,2k,RESISTOR0204/5,RES200MIL,R2,"RESISTOR, American symbol",,
3,4.7uF,CAPACITOR_POLARIZEDE5-6,CAP200MILPOLARIZED,"C1, C4, C7","POLARIZED CAPACITOR, American symbol",,
3,4.7uf,CAPACITOR_POLARIZEDE5-6,CAP200MILPOLARIZED,"C3, C5, C6","POLARIZED CAPACITOR, American symbol",,
1,47k,RESISTOR0204/5,RES200MIL,R3,"RESISTOR, American symbol",,
1,BrakeL_1,LED3MM,LED3MM,LED5,Avago Technologies LED,,
1,BrakeL_2,LED3MM,LED3MM,LED4,Avago Technologies LED,,
1,ESP_8266,ESP_8266,ESP8266,U$3,,,
1,L293D,L293D,DIP880W50P254L2000H510Q16,U1,4-Channel Motor Driver 24V 16-Pin Power PDIP Tube Check availability,,
1,LA_LightsDACPower,PINHD-2X8,2X08,JP4,PIN HEADER,,
1,LA_MotorControls,PINHD-2X6,2X06,JP5,PIN HEADER,,
1,LM2937,LM2937,TO220,IC1,"LM2937-2.5, LM2937-3.3 400mA and 500mA Voltage Regulators",,
1,LM2937-4PIN,LM2937-4PIN,TO220-4PIN,U$7,,,
1,LM4041CILPRCLP,LM4041CILPRCLP,LP_O-PBCY-W3,IC2,PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE Adjustable Output,,
1,MC34119P,MC34119P,DIL08,IC3,Low Power Audio Amplifier Motorola,,
1,POWER_CONN,POWER_CONN,POWER_CONN,U$5,,,
1,Power_LED,LED3MM,LED3MM,LED2,Avago Technologies LED,,
1,SPEAKER,SPEAKER,1X02,SP1,Speaker,,
1,SW_POWER_100MIL,SW_POWER_100MIL,SW_POWER,U$6,,,
1,Steering,PINHD-1X2,1X02,JP3,PIN HEADER,,
1,TLV5616,TLV5616,DIL08,U$1,,,
1,TM4C_BP,TM4C_BP,TM4C_BOOSTER_PACK,U$2,,,
5,TP_LOOP,TP_LOOP,TP_LOOP,"3.3V, 5.0V, GND, TLV5616_OUT_TP, VREF_TP",,,
1,TurnL_1,LED3MM,LED3MM,LED3,Avago Technologies LED,,
1,TurnL_2,LED3MM,LED3MM,LED1,Avago Technologies LED,,
1,Wheel,PINHD-1X2,1X02,JP2,PIN HEADER,,
